id;Title_course;Name;Date;Feedback
1;technical-support-fundamentals;By Daniel W;May 23, 2018;"Course was good overall. I will not take the time to discuss in detail the information taught; it was delivered well and was valuable. However, after watching many many minutes of these videos, it became really redundant for the first 15 seconds of each video to be an animation reminding me of where I am in the course. This is redundant because it is obvious where you are in the course when you navigate to any video.. in any course. The website displays where you are. I do not feel I need to be reminded with 15-20 seconds of silent animations showing me where I am; I just want the video to start. Secondly, it was really frustrating to be failed on the final writing by my peers for the most heinous complaint. We were directed to describe how to make a peanut butter and jelly sandwich to someone who has never seen one before. Because this is all the information given, I have to assume the user has seen some sand-which; just not a peanut butter and jelly one. I do not feel I should have to teach someone how to open a bag of bread. It should be common knowledge that something has to be opened to get it out. I should not have to teach kitchen etiquette and cleanliness. One user who failed me commented that because I did not direct him to set the bread on to a clean plate... that he was confused; and could have mis understood to the point where he placed the sandwich on the floor. Another user said that I should have described how to hold the knife. He did not know if he should hold it by the sharp end, or the handle. One of those users marked me off for not being concise because it did not use bullet points or numbers and that he was expecting a recipe format. Look! I am not here to suppose a user came out of a cave. When you fail me for these types of issues using this logic; that same logic makes me think I should describe how to make a sandwich by growing your own wheat, making grain, baking bread, growing strawberries to make jelly, etc. But I did not go that far! No... I simply re wrote my project and upload to accommodate these 3 users by including that the bread should be opened, how to hold a a utensil, and I even included images of the sandwich so that the user could check their work as it is assembled to ensure the user could make a sandwich in 14 simple short sentence steps labeled accordingly. Well guess what?! My project was graded by another 3 users who complained that it is common sense how to hold a knife and remove bread from a bag and that I should have given them more credit for having some level of food assembly knowledge and I barely passed. I passed by 1 point. Yah, they almost failed me for being too lengthy. Honestly, I only added 3 or 4 short sentences compared to the original. Being graded by your peers gives too brought of feedback in cases like this. If the last 3 users would have graded by first paper, I would have passed. If the first set of users would have graded by second paper I would have passed. Lastly, I got an email upon completion of the first course that said my certificate was ready to print once I uploaded my photo ID (drivers license) along with a second photo of me for validation. Once I uploaded these 2 images; I got a notice that there was no certificate to be given for this particular course. I would not have shared my personal information with you at this point in time if I knew nothing would be available to print yet. That too was frustrating. "
2;technical-support-fundamentals;By Ramses S;May 17, 2020;This felt like an honest waste of time. The course could have been completed in 2 days by my 8 year old daughter. I highly doubt any employer will take this certification seriously when they see it on a resume. In fact, I would not be surprised if an employer decided to NOT hire the applicant by seeing this on the persons resume. I literally did not learn a single thing from the entire course. The final exam was to write an essay on how to make a peanut butter and jelly sandwich. What in the honest F does that have to do with IT??? I really wish I did more research. I watched a YouTube video of a guy who applied to 300 jobs after receiving this certification and did not get a single callback aside to work at the mall as an Apple genius. Apple geniuses don't need ANY experience!!! To say I am disappointed is an understatement. I hope my review is not removed, the world deserves to know how much of a waste of time this course is. 
3;technical-support-fundamentals;By Alexandra H;October 05, 2018;Starting from scratch, I feel like I've gained a great basic understanding of IT support. It was informative, and it has motivated me and left me hungry for more. I am pumped to start the next course!
4;technical-support-fundamentals;By Alto P;May 08, 2019;Great course for beginners and experts. Easy to understand  and a good refresher for those who have been into IT for a long date. Recommend it to everyone looking for a high quality course on coursera.
5;technical-support-fundamentals;By Joel M;February 16, 2018;Great introduction to IT and the different standards that are used in the field. It really gives you an idea of what to expect and the different aspects that you may encounter while you're on the job.
6;technical-support-fundamentals;By Fragiskos K;March 10, 2018;An excellent introductory course. The all around material was well presented, the instructors are doing a great job passing on their knowledge. The weekly assignments were interesting and fun to take. 
7;technical-support-fundamentals;By Zack J;January 31, 2019;Please edit out the unnecessary/stupid 10 sec intro to EVERY video! In course 2, there are 89 videos. That's 890 seconds or 14.8 (basically 15 min) of pointless and meaningless time taken from the students! And that is just counting the videos from the second course!!! I'm not going to count how many videos are in all 5 courses of this program, but I'm assuming its in the hundreds. That's a lot of wasted time for a 10 second intro on every video! And with some personal experience in video editing, I know that it really wouldn't take someone that long to go back and edit out the intros. I think someone could probably do it in a full work week (40 hrs) time. Also, I like cheesy phrases, jokes and puns, but some of your guys scripts are bad cheesy. I know you guys were just trying to be funny and not make it a boring video, but man it was down right bad sometimes. If you ever update or redo it, I would cut out some of the cheese! Other than that, good job!
8;technical-support-fundamentals;By Barlow M;July 31, 2018;I am working in IT and wanted to do a refresher on the fundamentals and this course is really worth it. Good job Google and thank you for an affordable solution to getting my refresher and certificate
9;technical-support-fundamentals;By Satyam D;May 16, 2020;I actually have some experiences in IT so doing the course was very easy for me, but the content is awesome. It will be really beneficial for a beginner. I am looking forward to complete next courses!
10;technical-support-fundamentals;By Troy B;January 28, 2019;Not bad for rookie, but a bit too simple for someone of my experience looking to get the certs needed to use my skills in a workplace. I'd advise a test-out option for each portion of the IT Cert course. 
